PZT
lambda(nm),  e_real,      e_imaginary
371.0362	8.6218169	0.11535051
372.6211	8.5702752	0.10913394
374.2061	8.5204030	0.10326410
375.7912	8.4721205	0.097721419
377.3764	8.4253529	0.092487334
378.9618	8.3800292	0.087544260
380.5472	8.3360853	0.082875827
382.1327	8.2934582	0.078466306
383.7183	8.2520915	0.074301136
385.3040	8.2119296	0.070366326
386.8898	8.1729219	0.066648869
388.4757	8.1350208	0.063136492
390.0617	8.0981796	0.059817468
391.6478	8.0623560	0.056680894
393.2340	8.0275098	0.053716487
394.8203	7.9936019	0.050914461
396.4067	7.9605959	0.048265638
397.9931	7.9284571	0.045761368
399.5797	7.8971531	0.043393530
401.1663	7.8666524	0.041154400
402.7531	7.8369252	0.039036732
404.3399	7.8079436	0.037033729
405.9268	7.7796804	0.035138919
407.5138	7.7521099	0.033346237
409.1009	7.7252081	0.031649989
410.6881	7.6989513	0.030044756
412.2753	7.6733177	0.028525480
413.8627	7.6482862	0.027087388
415.4501	7.6238352	0.025725877
417.0376	7.5999466	0.024436773
418.6252	7.5766019	0.023216056
420.2128	7.5537818	0.022059868
421.8006	7.5314707	0.020964711
423.3884	7.5096522	0.019927216
424.9763	7.4883101	0.018944176
426.5643	7.4674292	0.018012598
428.1523	7.4469959	0.017129688
429.7404	7.4269957	0.016292754
431.3286	7.4074159	0.015499309
432.9169	7.3882432	0.014746958
434.5052	7.3694659	0.014033488
436.0936	7.3510717	0.013356767
437.6821	7.3330498	0.012714825
439.2707	7.3153893	0.012105781
440.8593	7.2980792	0.011527843
442.4480	7.2811094	0.010979339
444.0367	7.2644712	0.010458721
445.6255	7.2481543	0.0099644634
447.2145	7.2321496	0.0094951597
448.8034	7.2164489	0.0090494940
450.3924	7.2010439	0.0086262092
451.9815	7.1859265	0.0082241181
453.5706	7.1710888	0.0078420991
455.1598	7.1565229	0.0074790820
456.7491	7.1422221	0.0071340777
458.3384	7.1281787	0.0068061305
459.9278	7.1143870	0.0064943666
461.5172	7.1008396	0.0061979221
463.1067	7.0875309	0.0059160164
464.6962	7.0744540	0.0056478772
466.2858	7.0616035	0.0053927995
467.8755	7.0489732	0.0051501009
469.4652	7.0365584	0.0049191579
471.0550	7.0243534	0.0046993590
472.6448	7.0123526	0.0044901266
474.2347	7.0005517	0.0042909332
475.8246	6.9889452	0.0041012548
477.4145	6.9775292	0.0039206194
479.0046	6.9662982	0.0037485575
480.5946	6.9552487	0.0035846461
482.1847	6.9443761	0.0034284692
483.7749	6.9336758	0.0032796336
485.3651	6.9231445	0.0031377803
486.9553	6.9127781	0.0030025559
488.5456	6.9025726	0.0028736301
490.1359	6.8925245	0.0027506898
491.7263	6.8826302	0.0026334386
493.3167	6.8728863	0.0025215955
494.9072	6.8632897	0.0024148972
496.4977	6.8538370	0.0023130878
498.0882	6.8445248	0.0022159280
499.6788	6.8353502	0.0021231907
501.2693	6.8263104	0.0020346633
502.8600	6.8174021	0.0019501363
504.4507	6.8086230	0.0018694211
506.0414	6.7999702	0.0017923338
507.6321	6.7914407	0.0017186951
509.2229	6.7830324	0.0016483442
510.8137	6.7747428	0.0015811237
512.4045	6.7665691	0.0015168823
513.9954	6.7585089	0.0014554785
515.5863	6.7505601	0.0013967779
517.1772	6.7427205	0.0013406545
518.7681	6.7349880	0.0012869868
520.3591	6.7273602	0.0012356579
521.9501	6.7198350	0.0011865584
